canton,source,url,title,type,depth,parent_url
ZH,zh_social_services,https://www.svazurich.ch/,Startseite,page,0,
ZH,zh_social_services,https://www.svazurich.ch/administration/kontakt.html,Kontakt,page,1,https://www.svazurich.ch/
ZH,zh_social_services,https://www.svazurich.ch/suche/suche-nach-stichwort.html,Suche nach Stichwort,page,1,https://www.svazurich.ch/
ZH,zh_social_services,https://www.svazurich.ch/unsere-produkte/ahv.html,AHV,page,1,https://www.svazurich.ch/
ZH,zh_social_services,https://www.svazurich.ch/unsere-produkte/ahv/beitraege.html,AHV-Beiträge,page,1,https://www.svazurich.ch/
ZH,zh_social_services,https://www.svazurich.ch/unsere-produkte/ahv/beitraege/beitragspflicht.html,AHV-Beitragspflicht: Arbeitgeber,page,1,https://www.svazurich.ch/
ZH,zh_social_services,https://www.svazurich.ch/unsere-produkte/ahv/beitraege/ahv-konto.html,AHV-Konto: Individuelles Konto,page,1,https://www.svazurich.ch/
ZH,zh_social_services,https://www.svazurich.ch/unsere-produkte/ahv/beitraege/internationales.html,Internationales: Arbeitnehmende im Ausland,page,1,https://www.svazurich.ch/
ZH,zh_social_services,https://www.svazurich.ch/unsere-produkte/ahv/beitraege/schwarzarbeit-bekaempfen.html,Schwarzarbeit bekämpfen,page,1,https://www.svazurich.ch/
ZH,zh_social_services,https://www.svazurich.ch/unsere-produkte/ahv/leistungen.html,AHV-Leistungen,page,1,https://www.svazurich.ch/
ZH,zh_social_services,https://www.svazurich.ch/unsere-produkte/ahv/leistungen/altersrente.html,Altersrente: Sinn und Zweck,page,1,https://www.svazurich.ch/
ZH,zh_social_services,https://www.svazurich.ch/unsere-produkte/ahv/leistungen/hinterlassenenrente.html,Hinterlassenenrente,page,1,https://www.svazurich.ch/
ZH,zh_social_services,https://www.svazurich.ch/unsere-produkte/ahv/leistungen/hilflosenentschaedigung-ahv.html,Hilflosenentschädigung AHV,page,1,https://www.svazurich.ch/
ZH,zh_social_services,https://www.svazurich.ch/unsere-produkte/ahv/leistungen/hilfsmittel-ahv.html,Hilfsmittel AHV,page,1,https://www.svazurich.ch/
ZH,zh_social_services,https://www.svazurich.ch/unsere-produkte/ahv/leistungen/auszahlungstermine.html,Auszahlungstermine für AHV- und IV-Renten,page,1,https://www.svazurich.ch/
ZH,zh_social_services,https://www.svazurich.ch/unsere-produkte/ahv/leistungen/13-altersrente.html,13. Altersrente,page,1,https://www.svazurich.ch/
ZH,zh_social_services,https://www.svazurich.ch/unsere-produkte/iv.html,IV,page,1,https://www.svazurich.ch/
ZH,zh_social_services,https://www.svazurich.ch/unsere-produkte/iv/berufliche-eingliederung.html,Prävention und berufliche Eingliederung,page,1,https://www.svazurich.ch/
ZH,zh_social_services,https://www.svazurich.ch/unsere-produkte/iv/berufliche-eingliederung/leistungen-fuer-erwachsene.html,IV-Leistungen für Erwachsene: Arbeitsplatzerhalt,page,1,https://www.svazurich.ch/
ZH,zh_social_services,https://www.svazurich.ch/unsere-produkte/iv/berufliche-eingliederung/iv-leistungen-fuer-jugendliche.html,IV-Berufsberatung,page,1,https://www.svazurich.ch/
ZH,zh_social_services,https://www.svazurich.ch/unsere-produkte/iv/berufliche-eingliederung/leistungen-fuer-arbeitgebende.html,IV-Leistungen für Arbeitgebende,page,1,https://www.svazurich.ch/
ZH,zh_social_services,https://www.svazurich.ch/unsere-produkte/iv/unterstuetzung-im-alltag.html,Unterstützung im Alltag,page,1,https://www.svazurich.ch/
ZH,zh_social_services,https://www.svazurich.ch/unsere-produkte/iv/unterstuetzung-im-alltag/hilfsmittel-iv.html,Hilfsmittel IV,page,1,https://www.svazurich.ch/
ZH,zh_social_services,https://www.svazurich.ch/unsere-produkte/iv/unterstuetzung-im-alltag/hilflosenentschaedigung.html,Hilflosenentschädigung IV,page,1,https://www.svazurich.ch/
ZH,zh_social_services,https://www.svazurich.ch/unsere-produkte/iv/unterstuetzung-im-alltag/assistenzbeitrag-iv.html,Assistenzbeitrag IV,page,1,https://www.svazurich.ch/
ZH,zh_social_services,https://www.svazurich.ch/content/dam/sva-dokumente/2000_ak/2800_vb/2800_vb1_monatslohnabrechnung_assistenzbeitrag_ab2021.pdf,Lohn­abrechnung,pdf,2,https://www.svazurich.ch/unsere-produkte/iv/unterstuetzung-im-alltag/assistenzbeitrag-iv.html
ZH,zh_social_services,https://www.svazurich.ch/content/dam/sva-dokumente/1000_iv/1400_he/1400_ivl8_merkblatt_assistenzbeitrag.pdf,Hinweise zur Abrechnung von Assistenzbeiträgen,pdf,2,https://www.svazurich.ch/unsere-produkte/iv/unterstuetzung-im-alltag/assistenzbeitrag-iv.html
ZH,zh_social_services,https://www.svazurich.ch/unsere-produkte/iv/unterstuetzung-im-alltag/iv-rente.html,IV-Rente,page,1,https://www.svazurich.ch/
ZH,zh_social_services,https://www.svazurich.ch/unsere-produkte/iv/unterstuetzung-im-alltag/auszahlungstermine-ahv--und-iv-renten.html,Auszahlungstermine für AHV- und IV-Renten,page,1,https://www.svazurich.ch/
ZH,zh_social_services,https://www.svazurich.ch/unsere-produkte/iv/unterstuetzung-im-alltag/medizinische-massnahmen.html,Medizinische Massnahmen,page,1,https://www.svazurich.ch/
