model,prompt_set,n_shots,n,coverage,macro_pearson,macro_spearman,macro_mae,macro_bias,ci_lo,ci_hi,composite
meta/llama-3.1-70b-instruct,minimal_instruction_v1,20,19,0.95,0.15726245105474962,0.1454816647812934,0.5689649122807017,0.046789473684210506,-0.05096112065504525,0.37425498644919813,0.4498382430712345
meta/llama-3.1-70b-instruct,workflow_current,5,22,1.0,0.13341740262578805,0.1384316924997231,0.6278787878787879,0.13587878787878788,-0.05478807988231368,0.3317756938470429,0.4411329437371364
meta/llama-3.1-70b-instruct,minimal_instruction_v1,5,20,1.0,0.11674767451370067,0.13281979276970607,0.5945,0.12303333333333333,-0.11059921436604923,0.356107097641562,0.43947383725685035
meta/llama-3.3-70b-instruct,minimal_instruction_v1,0,3,1.0,0.029644752285995835,0.02679491924311226,0.4924444444444445,0.1680000000000001,,,0.416333487254109
meta/llama-3.1-70b-instruct,workflow_current,20,21,1.0,0.02955293407818211,0.080461096219586,0.6153333333333333,0.08460317460317462,-0.1392492288325026,0.21168930133449015,0.3917098003724244
meta/llama-3.1-8b-instruct,chain_of_thought_v1,20,2,1.0,,,,,,,0.3
meta/llama-3.1-8b-instruct,minimal_instruction_v1,10,2,1.0,,,,,,,0.3
meta/llama-3.1-8b-instruct,calibrated_rubric_v1,5,2,1.0,,,,,,,0.3
meta/llama-3.1-8b-instruct,calibrated_rubric_v1,10,2,1.0,,,,,,,0.3
meta/llama-3.1-8b-instruct,calibrated_rubric_v1,20,2,1.0,,,,,,,0.3
meta/llama-3.1-70b-instruct,calibrated_rubric_v1,5,1,1.0,,,,,,,0.3
meta/llama-3.1-8b-instruct,chain_of_thought_v1,5,2,1.0,,,,,,,0.3
meta/llama-3.1-8b-instruct,chain_of_thought_v1,10,2,1.0,,,,,,,0.3
meta/llama-3.1-70b-instruct,workflow_current,0,1,1.0,,,,,,,0.3
meta/llama-3.1-70b-instruct,workflow_current,10,1,1.0,,,,,,,0.3
meta/llama-3.1-8b-instruct,contrastive_v1,5,2,1.0,,,,,,,0.3
meta/llama-3.1-8b-instruct,contrastive_v1,10,2,1.0,,,,,,,0.3
meta/llama-3.1-8b-instruct,contrastive_v1,20,2,1.0,,,,,,,0.3
meta/llama-3.1-8b-instruct,lowA_control_v1,0,2,1.0,,,,,,,0.3
meta/llama-3.1-8b-instruct,lowA_control_v1,5,2,1.0,,,,,,,0.3
meta/llama-3.1-8b-instruct,lowA_control_v1,10,2,1.0,,,,,,,0.3
meta/llama-3.1-8b-instruct,lowA_control_v1,20,2,1.0,,,,,,,0.3
meta/llama-3.1-8b-instruct,lowOC_guard_v1,0,2,1.0,,,,,,,0.3
meta/llama-3.1-8b-instruct,lowOC_guard_v1,5,2,1.0,,,,,,,0.3
meta/llama-3.1-8b-instruct,lowOC_guard_v1,10,2,1.0,,,,,,,0.3
meta/llama-3.1-8b-instruct,minimal_instruction_v1,5,2,1.0,,,,,,,0.3
meta/llama-3.1-8b-instruct,lowOC_guard_v1,20,2,1.0,,,,,,,0.3
meta/llama-3.1-8b-instruct,minimal_instruction_v1,0,2,1.0,,,,,,,0.3
meta/llama-3.1-8b-instruct,workflow_current,0,2,1.0,,,,,,,0.3
meta/llama-3.1-70b-instruct,calibrated_rubric_v1,10,1,1.0,,,,,,,0.3
meta/llama-3.1-70b-instruct,chain_of_thought_v1,5,1,1.0,,,,,,,0.3
meta/llama-3.1-70b-instruct,chain_of_thought_v1,20,1,1.0,,,,,,,0.3
meta/llama-3.1-8b-instruct,workflow_current,20,2,1.0,,,,,,,0.3
meta/llama-3.1-8b-instruct,workflow_current,10,2,1.0,,,,,,,0.3
meta/llama-3.1-8b-instruct,workflow_current,5,2,1.0,,,,,,,0.3
meta/llama-3.1-70b-instruct,strict_style_v1,20,1,1.0,,,,,,,0.3
meta/llama-3.1-70b-instruct,lowA_control_v1,10,1,1.0,,,,,,,0.3
meta/llama-3.1-8b-instruct,strict_style_v1,20,2,1.0,,,,,,,0.3
meta/llama-3.1-8b-instruct,strict_style_v1,10,2,1.0,,,,,,,0.3
meta/llama-3.1-8b-instruct,strict_style_v1,5,2,1.0,,,,,,,0.3
meta/llama-3.1-8b-instruct,strict_style_v1,0,2,1.0,,,,,,,0.3
meta/llama-3.1-70b-instruct,strict_style_v1,0,1,1.0,,,,,,,0.3
meta/llama-3.1-70b-instruct,strict_style_v1,5,1,1.0,,,,,,,0.3
meta/llama-3.1-8b-instruct,minimal_instruction_v1,20,2,1.0,,,,,,,0.3
meta/llama-3.3-70b-instruct,minimal_instruction_v1,5,19,0.19387755102040816,0.13623362012488477,0.11784057527401962,0.5595789473684211,0.119859649122807,-0.09407718199458144,0.40373439288518964,0.21436428589488063
meta/llama-3.3-70b-instruct,minimal_instruction_v1,20,14,0.14736842105263157,0.08872944514398917,0.13669987918185592,0.5857142857142856,0.09714285714285711,-0.15634864044533195,0.35896563524017056,0.17143239174492694
meta/llama-3.3-70b-instruct,workflow_current,20,21,0.21875,0.041568556484833784,0.07186230597799133,0.6085396825396826,0.11114285714285713,-0.16660326763634084,0.25304243371070984,0.16470134173448037
meta/llama-3.3-70b-instruct,workflow_current,5,21,0.21875,0.0037778280160115805,0.008663646923594826,0.6030476190476189,0.118984126984127,-0.16689051145897243,0.17202325200541774,0.146904390198482
meta/llama-3.1-70b-instruct,calibrated_rubric_v1,0,0,0.0,,,,,,,0.0
meta/llama-3.1-8b-instruct,contrastive_v1,0,0,0.0,,,,,,,0.0
meta/llama-3.1-8b-instruct,calibrated_rubric_v1,0,0,0.0,,,,,,,0.0
meta/llama-3.1-70b-instruct,strict_style_v1,10,0,0.0,,,,,,,0.0
meta/llama-3.1-70b-instruct,lowOC_guard_v1,20,0,0.0,,,,,,,0.0
