model,n,macro_pearson,macro_spearman,macro_mae
google/gemma-3-12b-it,24,0.1171455247030549,0.0936537474411325,0.6323055555555557
meta/llama-3.1-70b-instruct,25,0.11519516845343751,0.10100892177961578,0.6771200000000002
meta/llama-3.3-70b-instruct,25,0.10006728172058137,0.11483593916431308,0.6000266666666667
moonshotai/kimi-k2-instruct,25,0.07834444027245166,0.10714778840876844,0.62856
google/gemma-3-27b-it,20,-0.003554648158056531,-0.007383564333204003,0.5935333333333334
meta/llama-3.1-8b-instruct,20,-0.0398737536574379,0.02264034310711808,0.5971666666666666
mistralai/mixtral-8x7b-instruct-v0.1,20,-0.0722304259385442,0.020940279000646288,0.5673666666666668
deepseek-ai/deepseek-r1,0,,,
deepseek-ai/deepseek-v3,0,,,
microsoft/phi-4,0,,,
mistralai/mistral-nemo-12b-instruct-2407,0,,,
qwen/qwen2.5-32b-instruct,0,,,
qwen/qwen2.5-72b-instruct,0,,,
