model,trait,pearson,spearman,mae,n
google/gemma-3-12b-it,O,0.18744425150728103,0.2029719648112609,0.6511111111111111,24
google/gemma-3-12b-it,C,0.2405862175197126,0.12932167540392164,0.6173611111111111,24
google/gemma-3-12b-it,E,0.10707862995185723,0.04675560710544764,0.6270833333333333,24
google/gemma-3-12b-it,A,-0.1093305283771911,-0.04631016308687493,0.7193055555555556,24
google/gemma-3-12b-it,N,0.15994905291361475,0.13552965297190728,0.5466666666666667,24
google/gemma-3-27b-it,O,0.2111380131377478,0.3566643053813688,0.5896666666666667,20
google/gemma-3-27b-it,C,-0.06279193573570256,-0.2104671806692184,0.4996666666666666,20
google/gemma-3-27b-it,E,0.07732179220399653,-0.034352705821418236,0.5793333333333334,20
google/gemma-3-27b-it,A,-0.14720099952874,-0.10788382510288987,0.6813333333333333,20
google/gemma-3-27b-it,N,-0.09624011086758445,-0.04087841545386229,0.6176666666666667,20
meta/llama-3.1-70b-instruct,O,0.2594868408812308,0.26907516032328943,0.6758666666666667,25
meta/llama-3.1-70b-instruct,C,0.20683208242165074,0.23644067018090736,0.6337333333333334,25
meta/llama-3.1-70b-instruct,E,0.050119412429828286,-0.0379775817800303,0.7190666666666669,25
meta/llama-3.1-70b-instruct,A,0.07962782193888163,0.11299660474318207,0.6753333333333333,25
meta/llama-3.1-70b-instruct,N,-0.020090315404403817,-0.07549024456926973,0.6816000000000001,25
meta/llama-3.1-8b-instruct,O,-0.031127445253423914,-0.05147639041837258,0.692,20
meta/llama-3.1-8b-instruct,C,0.08676937303468923,0.19817124977447254,0.5288333333333333,20
meta/llama-3.1-8b-instruct,E,-0.24536405708508216,-0.16962892172705613,0.5443333333333334,20
meta/llama-3.1-8b-instruct,A,0.14831778210023702,0.12704823221237646,0.5738333333333333,20
meta/llama-3.1-8b-instruct,N,-0.1579644210836097,0.00908754569417012,0.6468333333333333,20
meta/llama-3.3-70b-instruct,O,0.24755992251330666,0.2606622237392153,0.6525333333333333,25
meta/llama-3.3-70b-instruct,C,-0.10636821897167259,-0.02868958235554075,0.6109333333333332,25
meta/llama-3.3-70b-instruct,E,0.13746623646696096,0.0780526959017259,0.6184000000000001,25
meta/llama-3.3-70b-instruct,A,0.24543628410443644,0.24384387287348383,0.5522666666666667,25
meta/llama-3.3-70b-instruct,N,-0.023757815510124593,0.020310485662681035,0.566,25
mistralai/mixtral-8x7b-instruct-v0.1,O,0.14477148594508468,0.2987904818942667,0.5503333333333333,20
mistralai/mixtral-8x7b-instruct-v0.1,C,-0.33907285749882843,-0.35746942238730156,0.5346666666666666,20
mistralai/mixtral-8x7b-instruct-v0.1,E,-0.23976727014249846,-0.16706210111384634,0.5463333333333333,20
mistralai/mixtral-8x7b-instruct-v0.1,A,0.2368746118509095,0.22879024233564857,0.5770000000000001,20
mistralai/mixtral-8x7b-instruct-v0.1,N,-0.16395809984738832,0.10165219427446406,0.6285000000000001,20
moonshotai/kimi-k2-instruct,O,0.25429747013012666,0.23759991546786463,0.6017333333333333,25
moonshotai/kimi-k2-instruct,C,0.06917035394275149,0.047832569789887515,0.6721333333333334,25
moonshotai/kimi-k2-instruct,E,-0.018956193883811125,-0.005012531421473326,0.6982666666666666,25
moonshotai/kimi-k2-instruct,A,-0.05467456516307893,0.07995394229995645,0.6837333333333333,25
moonshotai/kimi-k2-instruct,N,0.1418851363362702,0.17536504590760696,0.48693333333333333,25
