id,input_len,gt_O,det_O,gt_C,det_C,gt_E,det_E,gt_A,det_A,gt_N,det_N
agree_high-compare2-Acacia-Marinella-4,231,0.08333333333333333,0.2,0.5833333333333334,0.7,0.5,0.3,0.6666666666666666,0.7,-0.8333333333333334,-0.6
agree_high-compare2-Caffe_Cielo-Trattoria_Spaghetto-4,303,0.4166666666666667,0.1,0.8333333333333334,0.5,0.6666666666666666,0.2,0.5,0.5,-0.6666666666666666,-0.4
agree_high-compare2-Ikeno_Hana-Menchanko-Tei-4,236,0.5833333333333334,0.1,0.6666666666666666,0.6,0.5833333333333334,0.2,0.75,0.7,-0.6666666666666666,-0.4
agree_high-compare2-Kin_Khao-Tossed-4,172,-0.16666666666666666,0.2,0.4166666666666667,0.5,0.0,0.2,0.5833333333333334,0.7,-0.25,-0.4
agree_high-compare2-Le_Rivage-Pintaile_s_Pizza-4,287,0.08333333333333333,0.5,0.3333333333333333,0.9,0.5,0.6,0.4166666666666667,0.7,-0.3333333333333333,-0.8
agree_high-compare2-Les_Routiers-Radio_Perfecto-4,310,0.16666666666666666,0.2,0.5,0.8,-0.4166666666666667,0.4,0.5,0.7,-0.5,-0.6
agree_high-compare2-Mavalli_Palace-Once_Upon_A_Tart-4,375,0.08333333333333333,0.2,0.5,0.7,0.75,0.3,0.3333333333333333,0.5,-0.16666666666666666,-0.4
agree_high-compare2-Old_San_Juan-Veselka-4,220,0.4166666666666667,0.1,0.5833333333333334,0.6,0.4166666666666667,0.3,0.6666666666666666,0.7,-0.75,-0.4
agree_high-compare2-Scopa-Shabu-Tatsu-4,200,0.3333333333333333,0.2,0.25,0.8,0.25,0.6,0.25,0.8,-0.16666666666666666,-0.8
agree_high-compare2-Soul_Fixins_-Walker_s-4,263,-0.16666666666666666,0.1,0.3333333333333333,0.6,0.0,0.2,0.4166666666666667,0.5,-0.6666666666666666,-0.4
agree_high-recommend-Cent_anni-4,195,0.5,0.5,0.6666666666666666,0.7,0.6666666666666666,0.5,0.75,0.7,-0.75,-0.4
agree_high-recommend-Chimichurri_Grill-4,217,0.4166666666666667,0.1,0.75,0.6,0.75,0.5,0.5833333333333334,0.8,-0.6666666666666666,-0.4
agree_high-recommend-Edgar_s_Cafe-4,223,0.5,0.2,0.75,0.6,0.8333333333333334,0.4,0.6666666666666666,0.5,-0.75,-0.4
agree_high-recommend-Flor_De_Mayo-4,242,0.4166666666666667,0.5,0.5833333333333334,0.9,0.5833333333333334,0.6,0.4166666666666667,0.7,-0.6666666666666666,-0.8
agree_high-recommend-Jin_Dal_Lae-4,262,0.16666666666666666,0.1,0.3333333333333333,0.6,-0.6666666666666666,0.4,0.4166666666666667,0.7,-0.4166666666666667,-0.4
agree_high-recommend-John_s_Pizzeria-4,183,0.4166666666666667,0.6,0.6666666666666666,0.5,0.8333333333333334,0.7,0.8333333333333334,0.7,-0.16666666666666666,-0.4
agree_high-recommend-Pepolino-4,152,0.5833333333333334,0.3,0.75,0.6,0.4166666666666667,0.5,0.75,0.7,-0.75,-0.4
agree_high-recommend-Pietro_s-4,264,0.5833333333333334,0.5,0.9166666666666666,0.9,0.8333333333333334,0.7,0.75,0.8,-0.6666666666666666,-0.8
agree_high-recommend-Trattoria_Rustica-4,306,0.3333333333333333,0.5,0.3333333333333333,0.7,0.75,0.6,0.3333333333333333,0.8,-0.6666666666666666,-0.4
agree_high-recommend-Vinnie_s_Pizza-4,119,0.5,0.2,0.6666666666666666,0.5,0.9166666666666666,0.6,0.5,0.8,-0.75,-0.6
agree_low-compare2-Acacia-Marinella-3,165,-0.3333333333333333,-0.5,0.4166666666666667,0.2,0.75,0.1,-0.25,-0.7,-0.08333333333333333,-0.4
agree_low-compare2-Caffe_Cielo-Trattoria_Spaghetto-3,235,-0.3333333333333333,-0.5,0.25,0.1,-0.5,-0.4,-0.25,-0.7,-0.0,-0.3
agree_low-compare2-Ikeno_Hana-Menchanko-Tei-3,240,-0.4166666666666667,-0.6,-0.25,0.0,-0.08333333333333333,-0.4,0.25,0.2,0.5,-0.4
agree_low-compare2-Kin_Khao-Tossed-3,134,-0.3333333333333333,-0.3,0.08333333333333333,0.1,0.16666666666666666,0.2,-0.4166666666666667,-0.8,-0.16666666666666666,0.1
agree_low-compare2-Le_Rivage-Pintaile_s_Pizza-3,196,0.08333333333333333,-0.5,-0.25,0.2,-0.5833333333333334,-0.5,0.3333333333333333,-0.2,-0.5833333333333334,-0.4
agree_low-compare2-Les_Routiers-Radio_Perfecto-3,184,-0.6666666666666666,-0.5,-0.16666666666666666,0.5,-0.5833333333333334,-0.4,-0.3333333333333333,0.2,0.5,-0.4
agree_low-compare2-Mavalli_Palace-Once_Upon_A_Tart-3,223,0.0,-0.6,-0.16666666666666666,0.1,0.08333333333333333,-0.6,0.0,0.1,0.08333333333333333,-0.4
agree_low-compare2-Old_San_Juan-Veselka-3,146,-0.25,-0.5,0.4166666666666667,0.1,0.25,-0.4,0.0,-0.5,-0.6666666666666666,-0.3
